iter	Passed	Remaining
298	4394	10303
299	4409	10288
300	4423	10272
301	4436	10254
302	4451	10239
303	4467	10229
304	4482	10214
305	4497	10199
306	4511	10183
307	4525	10166
308	4538	10148
309	4551	10130
310	4565	10113
311	4578	10096
312	4591	10078
313	4604	10060
314	4617	10041
315	4632	10027
316	4648	10014
317	4662	9999
318	4677	9984
319	4691	9969
320	4706	9955
321	4720	9940
322	4734	9923
323	4749	9910
324	4763	9893
325	4778	9878
326	4792	9862
327	4805	9846
328	4818	9828
329	4832	9812
330	4846	9794
331	4860	9779
332	4873	9761
333	4888	9748
334	4901	9730
335	4917	9718
336	4932	9704
337	4946	9688
338	4962	9676
339	4977	9662
340	4993	9649
341	5007	9634
342	5025	9626
343	5039	9610
344	5054	9596
345	5068	9580
346	5083	9566
347	5096	9549
348	5111	9535
349	5124	9517
350	5139	9502
351	5153	9487
352	5167	9471
353	5181	9456
354	5195	9440
355	5211	9427
356	5224	9410
357	5238	9393
358	5252	9378
359	5265	9361
360	5279	9344
361	5294	9330
362	5307	9314
363	5320	9296
364	5334	9280
365	5348	9264
366	5361	9246
367	5375	9232
368	5390	9217
369	5404	9201
370	5417	9184
371	5432	9170
372	5446	9155
373	5460	9139
374	5473	9122
375	5487	9106
376	5499	9088
377	5512	9070
378	5526	9055
379	5540	9039
380	5553	9021
381	5566	9005
382	5580	8989
383	5594	8974
384	5607	8956
385	5620	8939
386	5634	8924
387	5647	8907
388	5660	8891
389	5673	8874
390	5686	8857
391	5700	8841
392	5713	8824
393	5726	8808
394	5740	8792
395	5755	8778
396	5772	8767
397	5787	8754
398	5803	8742
399	5821	8731
400	5838	8721
401	5855	8710
402	5873	8701
403	5890	8690
404	5908	8680
